Material Name,Symbol,Category,Phase,t_min (K),t_max (K),A,B,C,D,Max Fit Error (%),R²,Molecular Weight (g/mol),NASA Species (ref),Reference Code,Source / Notes
MgAL2O4,MgAL2O4,Refractories,cr,200,800,-50.008052,879.537748,-1293.159814,674.231142,1.915,0.99907,142.2657,MgAL2O4(cr),j12/79,"Crystal. Chase,1998 pp147-9."
MgAL2O4,MgAL2O4,Refractories,cr,800,2408,126.922406,62.784021,-13.410225,2.25981,0.15,0.99999,142.2657,MgAL2O4(cr),j12/79,"Crystal. Chase,1998 pp147-9."
MgAL2O4,MgAL2O4,Refractories,L,2408,6000,219.658748,0,0,0,0,1,142.2657,MgAL2O4(L),j12/79,"Liquid. Chase,1998 pp147-9."
MgBr2,MgBr2,Other technologically relevant materials,cr,298.15,984,56.1393,80.6659,-85.264465,36.010181,0.473,0.99942,184.113,MgBr2(cr),tpis96,"Hexagonal. Gurvich,1996a pt1 p418 pt2 p332."
MgBr2,MgBr2,Other technologically relevant materials,L,984,6000,99.99943,0,0,0,0,1,184.113,MgBr2(L),tpis96,"Liquid. Gurvich,1996a pt1 p418 pt2 p332."
MgCO3,MgCO3,Other technologically relevant materials,cr,200,500,-1.59506,384.395613,-487.514587,245.773897,0.697,0.9999,84.3139,MgCO3(cr),tpis96,"Hexagonal. Gurvich,1996a pt1 p429 pt2 p341."
MgCO3,MgCO3,Other technologically relevant materials,cr,500,1263,49.761873,121.277215,-50.63307,15.465391,0.145,0.99999,84.3139,MgCO3(cr),tpis96,"Hexagonal. Gurvich,1996a pt1 p429 pt2 p341."
MgCO3,MgCO3,Other technologically relevant materials,L,1263,6000,149.999145,0,0,0,0,1,84.3139,MgCO3(L),tpis96,"Liquid. Gurvich,1996a pt1 p429 pt2 p341."
MgCL2,MgCL2,Other technologically relevant materials,cr,200,500,27.854511,264.732647,-501.98284,346.959111,0.16,0.99997,95.211,MgCL2(cr),tpis96,"Hexagonal. Gurvich,1996a pt1 p413 pt2 p329."
MgCL2,MgCL2,Other technologically relevant materials,cr,500,987,62.417834,46.965086,-38.120965,13.746365,0.029,0.99999,95.211,MgCL2(cr),tpis96,"Hexagonal. Gurvich,1996a pt1 p413 pt2 p329."
MgCL2,MgCL2,Other technologically relevant materials,L,987,6000,99.249979,-7.921475,1.906491,-0.149943,1.142,0.96583,95.211,MgCL2(L),tpis96,"Liquid. Gurvich,1996a pt1 p413 pt2 p329."
MgF2,MgF2,Other technologically relevant materials,cr,200,500,9.59443,255.373202,-291.695996,73.153277,1.55,0.99926,62.3018,MgF2(cr),tpis96,"Tetragonal. Gurvich,1996a pt1 p410 pt2 p326."
MgF2,MgF2,Other technologically relevant materials,cr,500,1536,56.824004,49.518265,-35.340776,9.384512,0.386,0.99914,62.3018,MgF2(cr),tpis96,"Tetragonal. Gurvich,1996a pt1 p410 pt2 p326."
MgF2,MgF2,Other technologically relevant materials,L,1536,6000,94.79946,0,0,0,0,1,62.3018,MgF2(L),tpis96,"Liquid. Gurvich,1996a pt1 p410 pt2 p326."
MgH2,MgH2,Other technologically relevant materials,b,200,300,255.880965,-2970.478663,12337.299678,-16289.513864,1.232,0.99921,26.3209,MgH2(b),tpis96,"Beta,tetragonal. Gurvich,1996a pt1 p402 pt2 p321."
MgH2,MgH2,Other technologically relevant materials,b,300,400,-128.071518,1278.141317,-3316.02158,2909.86093,0.019,0.99999,26.3209,MgH2(b),tpis96,"Beta,tetragonal. Gurvich,1996a pt1 p402 pt2 p321."
